"@title","Deutsch"
"#00110","Defeat 800 Merbles!"
"#00111","Defeat 7500 Broccolins!"
"#00112","Defeat 1200 Hermit Crabbies!"
"#00113","Defeat 300 Trents!"
"#00114","Defeat 1200 Pyonpos!"
"#00115","Defeat 200 Bolems!"
"#00116","Defeat 600 Jabbers!"
"#00117","Defeat 200 Electrahops!"
"#00118","Defeat 400 Shelldons!"
"#00119","Defeat 800 Mandragoras!"
"#00120","Defeat 7500 Molezos!"
"#00121","Defeat 800 Salimons!"
"#00122","Defeat 200 Hifutekis!"
"#00123","Defeat 900 Eelgors!"
"#00124","Defeat 300 Mr. Weensies!"
"#00125","Defeat 600 Squidos!"
"#00126","Defeat 200 Twinsels!"
"#00127","Defeat 400 Pastypuffs!"
"#00128","Defeat 800 Broccolins!"
"#00129","Defeat 3000 Salimons!"
"#00130","Defeat 1100 Skeltons!"
"#00131","Defeat 300 Stumpers!"
"#00132","Defeat 800 Alpaca Riders!"
"#00133","Defeat 200 Rock Golems!"
"#00134","Defeat 600 Blobbins!"
"#00135","Defeat 200 Puffies!"
"#00136","Defeat 800 Skelets!"
"#00137","Defeat 7300 Ickles!"
"#00138","Defeat 300 Hifutekis!"
"#00139","Defeat 200 Stumpers!"
"#00140","Defeat 400 Cobrashes!"
"#00141","Defeat 200 Hotalot Devils!"
"#00142","Defeat 600 Metaboks!"
"#00143","Defeat 400 Moeyamas!"
"#00144","Defeat 800 Crabbos!"
"#00145","Defeat 7200 Hermit Crabbies!"
"#00146","Defeat 1100 Kappataros!"
"#00147","Defeat 800 Fleanixes!"
"#00148","Defeat 300 Gyozans!"
"#00149","Defeat 200 Seal Knights!"
"#00150","Defeat 400 Octovars!"
"#00151","Defeat 800 Hermit Crabbies!"
"#00152","Defeat 6600 Hottles!"
"#00153","Defeat 500 Tutanhops!"
"#00154","Defeat 800 Undead Cap'ns!"
"#00155","Defeat 400 Collasquidos!"
"#00156","Defeat 300 Gillans!"
"#00157","Defeat 200 Tortons!"
"#00158","Defeat 400 Skelets!"
"#00159","Defeat 300 Salimons!"
"#00160","Defeat 3000 Caveshrooms!"
"#00161","Defeat 300 Boxles!"
"#00162","Defeat 600 Tonatonas!"
"#00163","Defeat 400 Froggles!"
"#00164","Defeat 100 Collasquidos!"
"#00165","Defeat 400 Crabbos!"
"#00166","Defeat 800 Hoplions!"
"#00167","Defeat 6400 Tortugans!"
"#00168","Defeat 900 Rexes!"
"#00169","Defeat 300 Collasquidos!"
"#00170","Defeat 400 Skullies!"
"#00171","Defeat 100 Froggles!"
"#00172","Defeat 200 Falcones!"
"#00173","Defeat 800 Pastypuffs!"
"#00174","Defeat 7500 Sharkies!"
"#00175","Defeat 1200 Ickles!"
"#00176","Defeat 400 Pricklers!"
"#00177","Defeat 1000 Crocogators!"
"#00178","Defeat 100 Sassas!"
"#00179","Defeat 200 Pyons!"
"#00180","Defeat 1400 Merbles!"
"#00181","Defeat 800 Clammos!"
"#00182","Defeat 7000 Skellos!"
"#00183","Defeat 1200 Cheeps!"
"#00184","Defeat 200 Mimicos!"
"#00185","Defeat 400 Blinkos!"
"#00186","Defeat 200 Granitrons!"
"#00187","Defeat 200 Titans Jr.!"
"#00188","Defeat 800 Machbats!"
"#00189","Defeat 4500 King Plomps!"
"#00190","Defeat 400 UFOs!"
"#00191","Defeat 800 Oompas!"
"#00192","Defeat 200 King Wairobots!"
"#00193","Defeat 800 Twinsels!"
"#00194","Defeat 1200 Pastypuffs!"
"#00195","Defeat 1600 Mandragoras!"
"#00196","Defeat 1200 Sneaks!"
"#00197","Defeat 1200 Squidos!"
"#00198","Defeat 1600 Stingers!"
"#00199","Defeat 100 Shelldons!"
"#00200","Defeat 100 Moeyamas!"
"#00201","Defeat 100 Machbats!"
"#00202","Defeat 100 Merbles!"
"#00203","Defeat 2500 Tortugans!"
"#00204","Defeat 3300 Jabbers!"
"#00205","Defeat 2700 Fleanixes!"
"#00206","Defeat 2600 Puffies!"
"#00207","Defeat 2100 Mimicos!"
"#00208","Defeat 2600 Pyons!"
"#00209","Defeat 2700 Tutanhops!"
"#00210","Defeat 1200 Titans Jr.!"
"#00211","Defeat 2400 Alpaca Riders!"
"#00212","Defeat 3300 Mandragoras!"
"#00213","Defeat 2000 Skeldras!"
"#00214","Defeat 2000 Mechapooches!"
"#00215","Defeat 2000 Water Serpents!"
"#00216","Defeat 1500 Kairobits!"
"#00217","Defeat 1500 Blue Kairobits!"
"#00218","Defeat 1500 Red Kairobits!"
"#00219","Defeat 1500 Double Kairobits!"
"#00220","Defeat 10 Stingers!"
"#00221","None"
"#00222","Remove cannons."
"#00223","Wood C."
"#00224","Easy to install."
"#00225","=#00088"
"#00226","Relatively powerful."
"#00227","Long C."
"#00228","Pierces and stuns easily."
"#00229","Gold C."
"#00230","Can make wild shots."
"#00231","Demon C."
"#00232","Ultimate power & piercing."
"#00233","Waterfall C."
"#00234","Showers cannonballs."
"#00235","Bearington Shipbuilding"
"#00236","Bearington Corp."
"#00237","Relic Artisan"
"#00238","Ein berühmter Relikthandwerker"
"#00239","Pumpkin Smith"
"#00240","Pump Kin"
"#00241","Kairobot"
"#00242","Sally Prin"
"#00243","Guard"
"#00244","Piratenmädchen"
"#00245","Master Rower"
"#00246","Tischlergeselle"
"#00247","Royal Guard"
"#00248","Rank Private"
"#00249","Halunke"
"#00250","Pole Fisher"
"#00251","Elite Sniper"
"#00252","Schlägertyp"
"#00253","Scary Clown"
"#00254","Fancy Dancer"
"#00255","Dark Priest"
"#00256","Brutal Thug"
"#00257","Shadow King"
"#00258","Tough Fencer"
"#00259","Reliable Guy"
"#00260","Busy Sailor"
"#00261","Upset Gunman"
"#00262","Spear Champ"
"#00263","Fast Wizard"
"#00264","Calm Soldier"
"#00265","Hammer Mage"
"#00266","Bunko Artist"
"#00267","Old Soldier"
"#00268","Old Medic"
"#00269","Ditsy Dealer"
"#00270","Sweet Sniper"
"#00271","Pretty Thief"
"#00272","Pale Sniper"
"#00273","Gangster Don"
"#00274","Range Master"
"#00275","Cool Viking"
"#00276","Tough Wizard"
"#00277","Dodgy Trader"
"#00278","Extreme Cook"
"#00279","Young Archer"
"#00280","Rebel Leader"
"#00281","Shadow Smith"
"#00282","Tuna Fisher"
"#00283","Rude Nomad"
"#00284","Old Officer"
"#00285","Super Sniper"
"#00286","Cosplayer"
"#00287","Mad Prof"
"#00288","Lazy Viking"
"#00289","Big Gambler"
"#00290","Sick Sailor"
"#00291","Scary Gunman"
"#00292","Tired Worker"
"#00293","Evil Breeder"
"#00294","Awful Guard"
"#00295","Dirty Thug"
"#00296","Dancing Star"
"#00297","Grumpy Guard"
"#00298","Mad Chemist"
"#00299","Shady Thief"
"#00300","Sand Samurai"
"#00301","Miracle Kid"
"#00302","Fallen Angel"
"#00303","Quack Doctor"
"#00304","Deft Gambler"
"#00305","Happy Sniper"
"#00306","Art Dealer"
"#00307","Ocean Lover"
"#00308","Mean Guard"
"#00309","Lead Dancer"
"#00310","Boyish Girl"
"#00311","Gladiator"
"#00312","Evil Admiral"
"#00313","Blade Dealer"
"#00314","Redbeardette"
"#00315","Mansion Snob"
"#00316","Demon Queen"
"#00317","Camo Master"
"#00318","Total Slob"
"#00319","Rowdy Sister"
"#00320","Speermeister"
"#00321","Iron Wielder"
"#00322","Schlanke Tänzerin"
"#00323","Cruel Viking"
"#00324","Battle Lover"
"#00325","Loose Major"
"#00326","Shadow Ninja"
"#00327","Devil's Hand"
"#00328","Warrior King"
"#00329","Trade Master"
"#00330","Dark Star"
"#00331","Brave Fencer"
"#00332","Hardhead"
"#00333","Suave Golem"
"#00334","Rogue Star"
"#00335","Wild Fisher"
"#00336","Tough Guy"
"#00337","Evil Archer"
"#00338","=#00320"
"#00339","Armorer"
"#00340","Old Hand"
"#00341","Evil Villain"
"#00342","Cowboy King"
"#00343","King Ackbad"
"#00344","Evil Gunman"
"#00345","Bad Pumpkin"
"#00346","Spooky Clown"
"#00347","Newbie Mage"
"#00348","Gym Junkie"
"#00349","Rude Golem"
"#00350","Pirate King"
"#00351","Holy Dancer"
"#00352","Nr. 1 Soldat"
"#00353","Fresh Wizard"
"#00354","Stylish Mage"
"#00355","Tough Viking"
"#00356","Lady Admiral"
"#00357","Worst Golem"
"#00358","Mean Pirate"
"#00359","Sharp Fencer"
"#00360","World Runner"
"#00361","Grim Viking"
"#00362","Sober Clown"
"#00363","Islander"
"#00364","Robust King"
"#00365","Wild Golem"
"#00366","Noise Maker"
"#00367","Quick Gunman"
"#00368","Rogue Golem"
"#00369","Lost Golem"
"#00370","Apple Seller"
"#00371","Lost Viking"
"#00372","#1 Golem"
"#00373","Star Pirate"
"#00374","New Cap'n"
"#00375","Fairy Cap'n"
"#00376","Brawny Cap'n"
"#00377","Medic Cap'n"
"#00378","Dealer Cap'n"
"#00379","Ranged Cap'n"
"#00380","Thief Cap'n"
"#00381","Ship Cap'n"
"#00382","Clever Cap'n"
"#00383","Dancer Cap'n"
"#00384","Viking Cap'n"
"#00385","Ugly Cap'n"
"#00386","Wise Cap'n"
"#00387","Blade Cap'n"
"#00388","Novice Cap'n"
"#00389","Noble Cap'n"
"#00390","Ebony Cap'n"
"#00391","Ninja Cap'n"
"#00392","Dragon Cap'n"
"#00393","Royal Cap'n"
"#00394","Fancy Cap'n"
"#00395","Chimp Cap'n"
"#00396","=#00391"
"#00397","Fist Cap'n"
"#00398","Town Mascot"
"#00399","Banana Lover"
"#00400","8-Bit Robot"
"#00401","Cute Queen"
"#00402","Geheimniskrämer"
"#00403","3rd Yr. Thug"
"#00404","Soldier Girl"
"#00405","Ringmaster"
"#00406","Cute Thief"
"#00407","Naiver Wikinger"
"#00408","Range Sniper"
"#00409","Pirate Ace"
"#00410","Ultra Thug"
"#00411","Musketeer"
"#00412","Koga Ninja"
"#00413","Sword Maniac"
"#00414","Mobster Thug"
"#00415","Ninja Dude"
"#00416","Great Guy"
"#00417","Bear Mascot"
"#00418","Banana Geek"
"#00419","4-Bit Robot"
"#00420","Pretty Lady"
"#00421","Mad Mariner"
"#00422","Mad Sailor"
"#00423","Mad Pirate"
"#00424","Mad Cook"
"#00425","Mad Farmer"
"#00426","Mad Merchant"
"#00427","Mad Smith"
"#00428","Mad Fisher"
"#00429","Mad Joiner"
"#00430","Mad Scoundrel"
"#00431","Mad Soldier"
"#00432","Mad Pugilist"
"#00433","Mad Archer"
"#00434","Mad Priest"
"#00435","Mad Clown"
"#00436","Mad Nomad"
"#00437","Mad Inventor"
"#00438","Mad Rifleman"
"#00439","Mad Spearman"
"#00440","Mad Mage"
"#00441","Mad Guard"
"#00442","Mad Doctor"
"#00443","Mad Gambler"
"#00444","Mad Sniper"
"#00445","Mad Thief"
"#00446","Mad Pilot"
"#00447","Mad Alchemist"
"#00448","Mad Dancer"
"#00449","Mad Viking"
"#00450","Mad Warlock"
"#00451","Mad Admiral"
"#00452","Mad Fencer"
"#00453","Mad Corsair"
"#00454","Mad Noble"
"#00455","Mad Golem"
"#00456","Mad Ninja"
"#00457","Mad Hero"
"#00458","Mad King"
"#00459","Entrepreneur"
"#00460","Mad Ruler"
"#00461","Mad Warrior"
"#00462","Mad Wrestler"
"#00463","Shieldmaster"
"#00464","Expert Guard"
"#00465","Power Lifter"
"#00466","Fist Expert"
"#00467","Biology Doc"
"#00468","Biology Prof"
"#00469","Mobster King"
"#00470","Mob Champ"
"#00471","Frequency"
"#00472"," Up"
"#00473","Weapon attack frequency +<0>."
"#00474","Attack"
"#00475","Attack +<0>% (temporary)."
"#00476","Defense"
"#00477","Defense +<0>% (temporary)."
"#00478","Aim"
"#00479","Aim +<0>% (temporary)."
"#00480","Use"
"#00481","Item"
"#00482","Use an item."
"#00483","Cheer"
"#00484","Boost CP recovery speed."
"#00485"," Down"
"#00486","Target's aim -<0>% (temporary)."
"#00487","Target's attack -<0>% (temporary)."
"#00488","Target's defense -<0>% (temporary)."
"#00489","Range"
"#00490","Humans can attack from <0> rows back."
"#00491","=#00243"
"#00492","Shield's total block chance +<0>%."
"#00493","Get"
"#00494","Gold"
"#00495","When an attack hits, get ~<0>G."
"#00496","Königsinsel"
"#00497","Nachbarinsel"
"#00498","Schäbige Insel"
"#00499","Fröhliche Insel"
"#00500","Wirtschaftsinsel"
"#00501","Sandige Insel"
"#00502","Röstinsel"
"#00503","Seeinsel"
"#00504","Tropische Insel"
"#00505","Dev Island"
"#00506","Big Island"
"#00507","Bright Island"
"#00508","Placid Island"
"#00509","Chilly Island"
"#00510","Frigid Island"
"#00511","Mystery Island"
"#00512","Warm Island"
"#00513","Pressing Island"
"#00514","Birdy Island"
"#00515","Calm Island"
"#00516","Smile Island"
"#00517","Short-Sleeve Island"
"#00518","Minus Island"
"#00519","Bright Kingdom"
"#00520","Frozen Island"
"#00521","Comfort Island"
"#00522","Sleepy Island"
"#00523","Forgetful Island"
"#00524","Mellow Island"
"#00525","Tired Island"
"#00526","Gotcha Island"
"#00527","Chomper Island"
"#00528","Secluded Island"
"#00529","Kairo Island"
"#00530","Forest Park"
"#00531","Unexplored Island"
"#00532","Heavy Island"
"#00533","Tottori Island"
"#00534","Faint Island"
"#00535","Craggy Island"
"#00536","Blobbin"
"#00537","Keeps losing his wallet."
"#00538","Metabok"
"#00539","Always sucks in his stomach."
"#00540","Sneak"
"#00541","Likes to give neck hugs."
"#00542","Jellio"
"#00543","Not very tasty on toast."
"#00544","Jabber"
"#00545","Never laughs in a movie theater."
"#00546","Dropplet"
"#00547","Has some carbonated relatives."
"#00548","Squido"
"#00549","Good friends with Octovar."
"#00550","Shelby"
"#00551","Wears a hat in his shell."
"#00552","Puffy"
"#00553","Fell in love with a balloon..."
"#00554","Stinger"
"#00555","Can easily scratch any itch."
"#00556","Electrahop"
"#00557","Lots of fun at the pool."
"#00558","Granitron"
"#00559","Friends with Marbletron."
"#00560","Pyon"
"#00561","Actually not a fan of Easter."
"#00562","Twinsel"
"#00563","They take turns being on top."
"#00564","Torton"
"#00565","Best buds with a bunny."
"#00566","Snackle"
"#00567","Loves freshly washed cars."
"#00568","Shelldon"
"#00569","Hides in his shell to cry."
"#00570","Moeyama"
"#00571","Not that hot-headed, actually."
"#00572","Titan Jr."
"#00573","Made of pure titanium. And love."
"#00574","Machbat"
"#00575","Not to be confused with Bachbat."
"#00576","Pastypuff"
"#00577","Uses SPF 1000 sunscreen."
"#00578","Merble"
"#00579","Can also sharpen kitchen knives."
"#00580","Mandragora"
"#00581","Likes to sing in the shower."
"#00582","Octovar"
"#00583","Thinks 7 of her legs are too fat."
"#00584","Skelet"
"#00585","Works part time at a museum."
"#00586","Crabbo"
"#00587","Has quite an acid tongue."
"#00588","Sharky"
"#00589","Gives rides to tourists."
"#00590","Broccolin"
"#00591","""Why don't kids like me...?"""
"#00592","Molezo"
"#00593","Glasses double as swim goggles."
"#00594","King Plomp"
"#00595","Was pretty popular as a kid."
"#00596","Clammo"
"#00597","An expert knitter."
"#00598","Cheep"
"#00599","Wants to come out of his shell."
"#00600","Ickle"
"#00601","Memorized his friends' birthdays."
"#00602","Hermit Crabby"
"#00603","Said to grow up to 25 feet."
"#00604","Salimon"
"#00605","Prefers swimming downstream."
"#00606","Falcone"
"#00607","Moonlights as a vice principal."
"#00608","Hoplion"
"#00609","Even hops in his sleep."
"#00610","Dark Sparkler"
"#00611","Wears glasses AND contacts."
"#00612","Prickler"
"#00613","Family runs a dry cleaner."
"#00614","Skello"
"#00615","Has an 18-year-old son."
"#00616","Hifuteki"
"#00617","Collects first issues of comics."
"#00618","Kappataro"
"#00619","Carries around a cucumber."
"#00620","Skelton"
"#00621","Hides baldness with a bandana."
"#00622","Hottle"
"#00623","Wears just a T-shirt in winter."
"#00624","Crocogator"
"#00625","Hates going to the dentist."
"#00626","Pyonpo"
"#00627","Has the same texture as pudding."
"#00628","Eelgor"
"#00629","Sometimes mistaken for a snake."
"#00630","Tortugan"
"#00631","Chuckles to himself in his shell."
"#00632","Stumper"
"#00633","Hides his growth rings."
"#00634","Fleanix"
"#00635","A bit of a troublemaker."
"#00636","UFO"
"#00637","Sighted above hamburger joints."
"#00638","Mimico"
"#00639","Wants to be assistant manager."
"#00640","Caveshroom"
"#00641","Needs a new hairstyle. Like now."
"#00642","Tutanhop"
"#00643","Gets offers from Hollywood."
"#00644","Boxle"
"#00645","Just got himself gift-wrapped."
"#00646","Alpaca Rider"
"#00647","Wears a sweater under his armor."
"#00648","Cobrash"
"#00649","Hides action figures in his coils."
"#00650","Gyozan"
"#00651","Inside, it's nice and cool."
"#00652","Greendra"
"#00653","Can fly! ...A little bit."
"#00654","Trent"
"#00655","About 20 more birds live in him."
"#00656","Wizzle"
"#00657","Seeking the perfect moisturizer."
"#00658","Rex"
"#00659","Lives with paternal grandmother."
"#00660","Oompa"
"#00661","Wants his 15 minutes of fame."
"#00662","Undead Cap'n"
"#00663","His breakfast cereal was a flop."
"#00664","Tonatona"
"#00665","No, his nose is NOT red..."
"#00666","Reddra"
"#00667","Dropped his phone yesterday."
"#00668","Blinko"
"#00669","Always has a charged phone."
"#00670","Bolem"
"#00671","Blooms once every 20 years."
"#00672","Mr. Weensy"
"#00673","His line of erasers is a hit."
"#00674","Rock Golem"
"#00675","Likes traveling with his family."
"#00676","Hotalot Devil"
"#00677","Hates ""hot dog"" jokes."
"#00678","Seal Knight"
"#00679","Hates get-rich-quick schemes."
"#00680","Gillan"
"#00681","Enjoys beef jerky."
"#00682","Collasquido"
"#00683","Likes to hug ships."
"#00684","Froggle"
"#00685","Amphibious and ambidextrous."
"#00686","Sassa"
"#00687","Can speak cat if he tries."
"#00688","Drazilla"
"#00689","Studying to be an accountant."
"#00690","Spikeon"
"#00691","Uses jasmine-scented shampoo."
"#00692","King Wairobot"
"#00693","Uses up one AA battery per step."
"#00694","Thanatos"
"#00695","Never invited to parties."
"#00696","Skully"
"#00697","Would be handsome with skin."
"#00698","Firaj"
"#00699","Can't blow out birthday candles."
"#00700","Baelzebub"
"#00701","Seeking a lost contact lens."
"#00702","Blobbin 2"
"#00703","An improved version of Blobbin."
"#00704","Metabok 2"
"#00705","An improved version of Metabok."
"#00706","Sneak 2"
"#00707","An improved version of Sneak."
"#00708","Jellio 2"
"#00709","An improved version of Jellio."
"#00710","Jabber 2"
"#00711","An improved version of Jabber."
"#00712","Dropplet 2"
"#00713","An improved version of Dropplet."
"#00714","Squido 2"
"#00715","An improved version of Squido."
"#00716","Shelby 2"
"#00717","An improved version of Shelby."
"#00718","Puffy 2"
"#00719","An improved version of Puffy."
"#00720","Stinger 2"
"#00721","An improved version of Stinger."
"#00722","Electrahop 2"
"#00723","An improved version of Electrahop."
"#00724","Granitron 2"
"#00725","An improved version of Granitron."
"#00726","Pyon 2"
"#00727","An improved version of Pyon."
"#00728","Twinsel 2"
"#00729","An improved version of Twinsel."
"#00730","Torton 2"
"#00731","An improved version of Torton."
"#00732","Snackle 2"
"#00733","An improved version of Snackle."
"#00734","Shelldon 2"
"#00735","An improved version of Shelldon."
"#00736","Moeyama 2"
"#00737","An improved version of Moeyama."
"#00738","Titan Jr. 2"
"#00739","An improved version of Titan Jr."
"#00740","Machbat 2"
"#00741","An improved version of Machbat."
"#00742","Pastypuff 2"
"#00743","An improved version of Pastypuff."
"#00744","Merble 2"
"#00745","An improved version of Merble."
"#00746","Mandragora 2"
"#00747","An improved version of Mandragora."
"#00748","Octovar 2"
"#00749","An improved version of Octovar."
"#00750","Skelet 2"
"#00751","An improved version of Skelet."
"#00752","Crabbo 2"
"#00753","An improved version of Crabbo."
"#00754","Sharky 2"
"#00755","An improved version of Sharky."
"#00756","Broccolin 2"
"#00757","An improved version of Broccolin."
"#00758","Molezo 2"
"#00759","An improved version of Molezo."
"#00760","King Plomp 2"
"#00761","An improved version of King Plomp."
"#00762","Clammo 2"
"#00763","An improved version of Clammo."
"#00764","Cheep 2"
"#00765","An improved version of Cheep."
"#00766","Ickle 2"
"#00767","An improved version of Ickle."
"#00768","Hermit Crabby 2"
"#00769","An improved version of Hermit Crabby."
"#00770","Salimon 2"
"#00771","An improved version of Salimon."
"#00772","Falcone 2"
"#00773","An improved version of Falcone."
"#00774","Hoplion 2"
"#00775","An improved version of Hoplion."
"#00776","Dark Sparkler 2"
"#00777","An improved version of Dark Sparkler."
"#00778","Prickler 2"
"#00779","An improved version of Prickler."
"#00780","Skello 2"
"#00781","An improved version of Skello."
"#00782","Hifuteki 2"
"#00783","An improved version of Hifuteki."
"#00784","Kappataro 2"
"#00785","An improved version of Kappataro."
"#00786","Skelton 2"
"#00787","An improved version of Skelton."
"#00788","Hottle 2"
"#00789","An improved version of Hottle."
"#00790","Crocogator 2"
"#00791","An improved version of Crocogator."
"#00792","Pyonpo 2"
"#00793","An improved version of Pyonpo."
"#00794","Eelgor 2"
"#00795","An improved version of Eelgor."
"#00796","Tortugan 2"
"#00797","An improved version of Tortugan."
"#00798","Stumper 2"
"#00799","An improved version of Stumper."
"#00800","Fleanix 2"
"#00801","An improved version of Fleanix."
"#00802","UFO 2"
"#00803","An improved version of UFO."
"#00804","Mimico 2"
"#00805","An improved version of Mimico."
"#00806","Caveshroom 2"
"#00807","An improved version of Caveshroom."
"#00808","Tutanhop 2"
"#00809","An improved version of Tutanhop."
"#00810","Boxle 2"
"#00811","An improved version of Boxle."
"#00812","Alpaca Rider 2"
"#00813","An improved version of Alpaca Rider."
"#00814","Cobrash 2"
"#00815","An improved version of Cobrash."
"#00816","Gyozan 2"
"#00817","An improved version of Gyozan."
"#00818","Greendra 2"
"#00819","An improved version of Greendra."
"#00820","Trent 2"
"#00821","An improved version of Trent."
"#00822","Wizzle 2"
"#00823","An improved version of Wizzle."
"#00824","Rex 2"
"#00825","An improved version of Rex."
"#00826","Oompa 2"
"#00827","An improved version of Oompa."
"#00828","Undead Cap'n 2"
"#00829","An improved version of Undead Cap'n."
"#00830","Tonatona 2"
"#00831","An improved version of Tonatona."
"#00832","Reddra 2"
"#00833","An improved version of Reddra."
"#00834","Blinko 2"
"#00835","An improved version of Blinko."
"#00836","Bolem 2"
"#00837","An improved version of Bolem."
"#00838","Mr. Weensy 2"
"#00839","An improved version of Mr. Weensy."
"#00840","Rock Golem 2"
"#00841","An improved version of Rock Golem."
"#00842","Hotalot Devil 2"
"#00843","An improved version of Hotalot Devil."
"#00844","Seal Knight 2"
"#00845","An improved version of Seal Knight."
"#00846","Gillan 2"
"#00847","An improved version of Gillan."
"#00848","Collasquido 2"
"#00849","An improved version of Collasquido."
"#00850","Froggle 2"
"#00851","An improved version of Froggle."
"#00852","Sassa 2"
"#00853","An improved version of Sassa."
"#00854","Drazilla 2"
"#00855","An improved version of Drazilla."
"#00856","Spikeon 2"
"#00857","An improved version of Spikeon."
"#00858","King Wairobot 2"
"#00859","An improved version of King Wairobot."
"#00860","Thanatos 2"
"#00861","An improved version of Thanatos."
"#00862","Skully 2"
"#00863","An improved version of Skully."
"#00864","Firaj 2"
"#00865","An improved version of Firaj."
"#00866","Baelzebub 2"
"#00867","An improved version of Baelzebub."
"#00868","=MID(#00848,1,-1)&'3'"
"#00869","The best version of Collasquido."
"#00870","=MID(#00850,1,-1)&'3'"
"#00871","The best version of Froggle."
"#00872","=MID(#00852,1,-1)&'3'"
"#00873","The best version of Sassa."
"#00874","=MID(#00854,1,-1)&'3'"
"#00875","The best version of Drazilla."
"#00876","=MID(#00856,1,-1)&'3'"
"#00877","The best version of Spikeon."
"#00878","=MID(#00858,1,-1)&'3'"
"#00879","The best version of King Wairobot."
"#00880","=MID(#00860,1,-1)&'3'"
"#00881","The best version of Thanatos."
"#00882","=MID(#00862,1,-1)&'3'"
"#00883","The best version of Skully."
"#00884","=MID(#00864,1,-1)&'3'"
"#00885","The best version of Firaj."
"#00886","=MID(#00866,1,-1)&'3'"
"#00887","The best version of Baelzebub."
"#00888","Skeldra"
"#00889","Dogs love him for some reason."
"#00890","Mechapooch"
"#00891","Does a great cow impression."
"#00892","Water Serpent"
"#00893","Still wets the bed sometimes."
"#00894","Skeldrex"
"#00895","Sleeps with a teddy bear."
"#00896","Megapooch"
"#00897","You should see his megapoops."
"#00898","Hydrodra"
"#00899","Moonlights as a firefighter."
"#00900","Skeldrex 2"
"#00901","An improved version of Skeldrex."
"#00902","Megapooch 2"
"#00903","An improved version of Megapooch."
"#00904","Hydrodra 2"
"#00905","An improved version of Hydrodra."
"#00906","Kairobit"
"#00907","Includes lots of kids apps."
"#00908","Blue Kairobit"
"#00909","Lost a fortune in stocks."
"#00910","Red Kairobit"
"#00911","Someone ate his pudding!"
"#00912","Double Kairobit"
